CTQ_1,CTQ_3,CTQ_10,Q4_6,Predictor,PPB_12,PPB_13,PPB_15,PPB_16,PPB_17,Outcome
65,60,70,50,61.25,25,40,60,85,30,48
20,10,20,100,37.5,20,30,50,40,10,30
77,100,78,1,64,100,100,100,100,100,100
76,54,50,51,57.75,19,32,35,54,48,37.6
50,76,50,25,50.25,100,60,60,60,10,58
75,0,0,80,38.75,25,0,100,50,10,37
24,0,50,100,43.5,27,70,68,71,24,52
7,52,25,10,23.5,74,68,34,64,57,59.4
38,37,48,50,43.25,6,40,83,68,4,40.2
56,50,51,77,58.5,56,64,63,59,36,55.6
71,38,38,37,46,24,24,24,70,23,33
76,77,54,25,58,76,48,50,37,68,55.8
0,41,50,51,35.5,66,56,47,91,65,65
72,28,63,66,57.25,16,14,11,9,18,13.6
25,100,100,50,68.75,20,60,50,60,30,44
81,10,68,100,64.75,66,77,77,25,69,62.8
65,62,45,51,55.75,68,60,17,47,32,44.8
25,1,25,1,13,25,25,25,25,60,32
0,0,15,0,3.75,65,40,23,24,17,33.8
20,5,10,100,33.75,90,15,70,65,15,51
50,50,49,13,40.5,84,7,85,83,15,54.8
90,87,75,17,67.25,93,83,100,26,12,62.8
0,0,0,100,25,25,50,50,75,0,40
0,0,0,0,0,25,25,25,75,25,35
75,75,75,20,61.25,90,49,36,86,85,69.2
50,0,0,100,37.5,0,70,20,60,40,38
0,0,25,50,18.75,25,60,50,60,50,49
